location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_001,42.894294,-2.176247,A-1,2,Congested
IBE_002,43.077224,-2.15832,A-1,2,Congested
IBE_003,42.950671,-2.227447,A-1,2,Congested
IBE_004,40.521353,-3.651647,A-1,2,Congested
IBE_005,41.048016,-3.615793,A-1,2,Congested
IBE_006,40.761208,-3.602299,A-1,2,Congested
IBE_007,40.980956,-3.638418,A-1,2,Congested
IBE_008,40.754671,-3.595726,A-1,2,Congested
IBE_009,41.239398,-3.590393,A-1,2,Congested
IBE_010,41.437637,-3.677911,A-1,2,Congested
IBE_011,42.919513,-2.022926,A-10,2,Congested
IBE_012,42.921752,-1.986174,A-10,2,Congested
IBE_013,41.688664,-2.813445,A-11,2,Congested
IBE_014,41.521136,-5.210076,A-11,2,Congested
IBE_015,41.642225,-2.923258,A-11,2,Congested
IBE_016,41.521435,-5.2246,A-11,2,Congested
IBE_017,41.655179,-4.366859,A-11,2,Congested
IBE_018,41.555288,-5.60311,A-11,2,Congested
IBE_019,41.530999,-5.27819,A-11,2,Congested
IBE_020,41.469138,-1.09939,A-1101,2,Congested
IBE_021,41.780658,-0.833595,A-1102,2,Congested
IBE_022,42.116181,-0.934261,A-1103,2,Congested
IBE_023,41.551426,-0.206478,A-1104,2,Congested
IBE_024,41.398704,-0.476744,A-1105,2,Congested
IBE_025,41.821513,-0.768514,A-1106,2,Congested
IBE_026,41.510087,-0.489621,A-1107,2,Congested
IBE_027,41.325828,-2.146576,A-116,2,Congested
IBE_028,42.678502,-1.922298,A-12,2,Congested
IBE_029,42.571912,-2.161085,A-12,2,Congested
IBE_030,42.689835,-1.799708,A-12,2,Congested
IBE_031,42.433174,-2.802019,A-12,2,Congested
IBE_032,42.441941,-2.551387,A-12,2,Congested
IBE_033,41.623928,-0.984306,A-120,2,Congested
IBE_034,42.138696,-1.137775,A-1204,2,Congested
IBE_035,42.39144,-0.740241,A-1205,2,Congested
IBE_036,42.213587,-0.551814,A-1206,2,Congested
IBE_037,42.214404,-0.554558,A-1207,2,Congested
IBE_038,41.992618,-0.666439,A-1209,2,Congested
IBE_039,41.546248,-1.391616,A-121,2,Congested
IBE_040,41.809209,-0.190781,A-1210,2,Congested
IBE_041,42.034214,-0.573701,A-1211,2,Congested
IBE_042,42.103522,-0.382813,A-1213,2,Congested
IBE_043,42.097531,-0.363717,A-1217,2,Congested
IBE_044,42.122298,-0.288536,A-1218,2,Congested
IBE_045,41.657472,-1.257212,A-122,2,Congested
IBE_046,42.113841,-0.233276,A-1222,2,Congested
IBE_047,41.902663,-0.162075,A-1223,2,Congested
IBE_048,42.001872,0.094998,A-1226,2,Congested
IBE_049,42.145543,-0.330744,A-1227,2,Congested
IBE_050,42.091808,-0.096443,A-1229,2,Congested
IBE_051,41.624058,-1.301758,A-122a,2,Congested
IBE_052,41.865104,-0.764249,A-123,2,Congested
IBE_053,42.052975,-0.02188,A-1231,2,Congested
