bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,42.894294,-2.176247,A-1,i-DE,300,Congested
FRIC_002,43.077224,-2.15832,A-1,i-DE,300,Congested
FRIC_003,42.950671,-2.227447,A-1,i-DE,300,Congested
FRIC_004,40.521353,-3.651647,A-1,i-DE,300,Congested
FRIC_005,41.048016,-3.615793,A-1,i-DE,300,Congested
FRIC_006,40.761208,-3.602299,A-1,i-DE,300,Congested
FRIC_007,40.980956,-3.638418,A-1,i-DE,300,Congested
FRIC_008,40.754671,-3.595726,A-1,i-DE,300,Congested
FRIC_009,41.239398,-3.590393,A-1,i-DE,300,Congested
FRIC_010,41.437637,-3.677911,A-1,i-DE,300,Congested
FRIC_011,42.919513,-2.022926,A-10,i-DE,300,Congested
FRIC_012,42.921752,-1.986174,A-10,i-DE,300,Congested
FRIC_013,41.688664,-2.813445,A-11,i-DE,300,Congested
FRIC_014,41.521136,-5.210076,A-11,i-DE,300,Congested
FRIC_015,41.642225,-2.923258,A-11,i-DE,300,Congested
FRIC_016,41.521435,-5.2246,A-11,i-DE,300,Congested
FRIC_017,41.655179,-4.366859,A-11,i-DE,300,Congested
FRIC_018,41.555288,-5.60311,A-11,i-DE,300,Congested
FRIC_019,41.530999,-5.27819,A-11,i-DE,300,Congested
FRIC_020,41.469138,-1.09939,A-1101,Endesa,300,Congested
FRIC_021,41.780658,-0.833595,A-1102,Endesa,300,Congested
FRIC_022,42.116181,-0.934261,A-1103,Endesa,300,Congested
FRIC_023,41.551426,-0.206478,A-1104,Endesa,300,Congested
FRIC_024,41.398704,-0.476744,A-1105,Endesa,300,Congested
FRIC_025,41.821513,-0.768514,A-1106,Endesa,300,Congested
FRIC_026,41.510087,-0.489621,A-1107,Endesa,300,Congested
FRIC_027,41.325828,-2.146576,A-116,Endesa,300,Congested
FRIC_028,42.678502,-1.922298,A-12,i-DE,300,Congested
FRIC_029,42.571912,-2.161085,A-12,i-DE,300,Congested
